id	titlescore	titlestd
55	283.8	463.306982464
 lgh	null	null
 p7e	47.1304347826	138.364453951
1001ju	317	553.782885137
1007xy	59.3820224719	150.31812749
100r5n	109.409090909	224.565572341
100to0	19.2597402597	72.919703677
100uaz	538.346534653	562.30268153
100ul6	113.281879195	282.9309466
100wda	310.92	592.564927751
100xv1	59.3148148148	153.618915704
100yxp	375.97979798	517.758650139
1010as	97.4743589744	252.67033982
1012v1	48.5933333333	210.993557458
1014es	187.02020202	354.721771175
10154x	60.6489361702	142.288342807
1017bn	4.5	1.5
1017j1	194.652173913	290.763105233
101fk5	117	350.07829812
101g9y	107.717391304	267.016500308
101s7q	4	0
101wri	163.583333333	446.349201548
102kxw	19	0
102l5e	1	0
102ltx	128.857142857	178.785928314
102qqi	112.19047619	262.193970191
102qr2	431.616161616	534.917263631
1030aj	49.0298507463	138.133179317
1031cc	95.5714285714	314.030529518
1032zp	50.119205298	197.894310114
1033ut	152.447368421	436.312074297
1035s5	60.2909090909	217.202601083
103ahd	206.091549296	356.557166168
103kc0	740	0
103yqb	139.714285714	195.977924621
10422a	115.813163482	392.058050531
1043zq	194.220338983	380.409015728
104l4i	134.714285714	188.876917054
104qq1	251.596078431	486.899238262
104t0x	80.5959821429	245.31460246
104vkg	412.550561798	575.230779506
104wpr	47.6294642857	187.922716894
104xv4	76.8055555556	386.342235981
104y8e	216.897959184	224.777054615
104zji	365.473684211	310.191853777
105a55	23.2272727273	57.5491345944
105eg5	176.375	212.893716147
105xys	432.5	739.517241178
106ew4	407.063583815	652.074662826
106f5g	112.458333333	229.811694503
106f64	266.730870712	483.89840772
106kug	202.157894737	197.993557353
106mr0	199.020618557	541.193945063
106qmj	94.6483516484	256.809219547
106sen	147.032786885	353.406883287
106xuo	169.65	331.432462954
1070oy	98	0
1071ev	25.4285714286	39.3513737021
1072xs	234.19047619	410.273731973
107p84	67.2077922078	207.88466693
107svj	65.7692307692	71.9178525458
1080t1	182.044933921	284.250501777
1088up	75.5	224.30268488
108nvt	40.5544554455	160.558553228
108t2y	128.78817734	411.039532166
108u56	425.09	437.268455185
108uum	56.28125	151.564391096
1094jc	244.777777778	310.030221908
1097ee	207.033333333	330.406263392
109d6e	93.212	329.562666356
109euf	163.115044248	320.006989753
109oey	75.7407407407	187.229428004
10a91x	154.5	17.5
10ah16	6.8571428571	4.0858141846
10am4q	151	182.605038266
10an5f	82.2173913043	240.095263072
10aqx4	89.1574074074	274.705470629
10aucs	163.84	364.918695602
10b4z6	202.401960784	239.99490435
10b8ke	303.625	416.382617763
10berh	448.25	380.069977109
10bqkh	152.674698795	446.36869812
10c5fp	141.821428571	296.284980282
10c629	224.325581395	441.566330498
10c6dh	201	198
10c86e	113.25	72.9464700997
10casq	137.777777778	89.0153267424
10cb6j	138.875	383.315178465
10cngt	122.962837838	346.2068716
10cthj	43	25.7837157912
10cvba	null	null
10cyda	80.2666666667	309.039645066
10d02s	62.3684210526	75.4706011262
10d230	null	null
10d7rj	277.5	313.023295193
10dg0w	188.834024896	507.973662862
10dxjt	76.6743295019	215.44281511
10dypv	85.6153846154	174.223348458
10dyzq	149.116666667	419.714997642
10e1xf	85.1136363636	214.966792634
10e9ny	3.9090909091	5.1248866144
10ea8r	206.4125	406.295941825
10ebht	835.5	829.5
10ebrg	207.172413793	264.437603482
10eosj	601.5	599.5
10ep2x	null	null
10ep9h	45.1393034826	139.786263631
10ev9t	408.585858586	409.761275909
10f5ns	16.5	9.5
10fb9b	null	null
10fd3t	5.25	2.1650635095
10fpsf	3.5	2.2912878475
10fulw	225.75	163.091040526
10fx1s	54.5946745562	180.071973369
10g27j	47.5477707006	213.278277174
10g385	492.862068966	707.53928728
10g7sc	337.173684211	430.772166357
10g90h	193.965517241	536.223276252
10gfsj	30.696969697	121.005004867
10ghxq	152.25	233.3520677
10giac	50.25	86.0950298604
10glqn	58.5757575758	121.080997259
10gpyt	31.5714285714	122.49021202
10gu0k	258.2	269.357309164
10gvpl	153.584415584	494.796254819
10h8dv	null	null
10h9fd	135.162740899	416.651271289
10havk	347.636363636	376.280908782
10hilw	268.866666667	416.397224881
10hjf9	34.0983606557	80.671709734
10hnn2	123.405357143	362.335462619
10hpmi	636.141414141	690.393666212
10hptz	218.738095238	335.409845919
10hu4i	411.333333333	67.6773390599
10i53b	117.555212355	382.995470403
10i61s	120.4	151.023971607
10i7qv	79.1809872029	218.203865741
10ibj2	65.012987013	205.615799427
10ifxi	106.644444444	242.866415551
10ih8u	243.276595745	365.723456862
10ipya	105.5	270.059715619
10iqhm	66.3417085427	202.219080707
10j176	109.425	202.4305915
10jg84	3	0
10jjgv	189.058139535	531.36544939
10jjhj	41.0980392157	169.418990405
10jnxr	198	310.879512719
10jsgo	800.939393939	655.969832057
10jt6q	130.616161616	252.428636063
10k663	451.375	706.960383879
10k6l3	21.0909090909	31.3628458398
10k7mu	346	522.379172632
10kc63	287.872727273	410.726609119
10ko7t	null	null
10kp2h	85.2090032154	275.252023743
10l7ag	382.181818182	534.263183048
10laj7	188.921568627	210.694665843
10lrjq	120.269639066	377.821582366
10lsvf	125.318181818	273.328316238
10m43d	116	0
10m692	9	8
10m95v	95.3513513514	296.272173645
10m9dd	70.4516129032	324.482234917
10maf7	2	0
10mo5j	216.851132686	496.942812674
10msl3	171.026666667	457.166198031
10mtll	36	0
10mzbw	140.166281755	441.372607164
10n1qy	160.056910569	358.305152247
10n30i	329.857142857	498.98451982
10n89i	26.8785046729	86.9426398384
10nadn	214.873161765	372.886471073
10napu	135	121
10njgi	484.026315789	508.852811251
10nnh7	116.901960784	218.258010198
10nx82	57.6764705882	207.17493611
10nxyt	160.686567164	301.034346677
10o0oy	422.555555556	706.502003003
10o389	201	285.20776053
10ogew	3.6666666667	2.0548046677
10ogr4	196.405405405	457.288746646
10oofc	177.920454545	346.085371811
10oqk8	null	null
10osma	330.714285714	377.777352274
10oxtv	10	5.7154760665
10pb3b	173.034031414	359.407396769
10pi2l	46.1428571429	68.1645667724
10pkdp	324.083333333	541.331761851
10pkfc	131.034285714	382.722128176
10pkg0	64.36	124.302817345
10pkhz	215.2	375.194029803
10pkrr	132.791821561	366.937878224
10pqjw	190.030973451	512.175434819
10ptx7	184.866995074	410.593199424
10pu0v	180.31557377	229.681146596
10qdf4	174.040345821	360.77193669
10qgg6	65.6666666667	99.0347862566
10qkgl	57.8888888889	54.1734753556
10qw11	274	291.144762493
10r31v	281.727272727	375.946343103
10r4i7	102.653225806	259.91901792
10r6k0	125.205882353	417.345505952
10r6sf	98.0253807107	209.239217446
10ramt	56.490990991	221.833732498
10rcra	null	null
10rd0a	187.274193548	498.500790091
10rdtd	275.850726552	566.133893509
10reg5	463.898989899	418.500123576
10rjpc	12.2788461538	38.3176141287
