id	titlescore	titlestd		id	titlescore	titlestd
102l5e	1	0		1fgcw3	null	null
1249fi	1	0		1q5mrj	null	null
12x9op	1	0		yf6d0	null	null
130too	1	0		1offjo	250.333333333	197.493178504
15egkn	1	0		zc7em	387.4	386.449789753
185mc6	1	0		1nccuo	288.14893617	313.894885423
19duf4	1	0		xuw8k	null	null
1bzp8s	1	0		1phw0o	60.5714285714	40.3072384242
1f0ff4	1	0		1cfgnn	282.333333333	394.26402475
1jnlao	1	0		1ajp7w	210.5	124.10445869
1l9525	1	0		1qdzwi	393.523809524	745.660224276
1lbxyz	1	0		1qu3ie	null	null
1on40e	1	0		1qwnfc	null	null
1os231	1	0		16hv6n	null	null
1p5trr	1	0		1pberm	47.5	32.5
1p5vk6	1	0		1hnicw	116.208333333	131.843018766
1pu624	1	0		12lx26	164.037037037	316.180970388
1qpnvf	1	0		1lzc4o	null	null
1qvpyw	1	0		1jzs1e	216.831460674	339.479914051
1qvutl	1	0		1qylmp	299.072164948	480.933161814
1r0bx4	1	0		wrps6	null	null
1r0qp0	1	0		1rqa1c	null	null
1r0tcc	1	0		1dwua2	null	null
1r0ttp	1	0		1pj0eb	127.818181818	316.30474896
1r3wa9	1	0		1flnbi	18	0
1r5a61	1	0		17kvco	103	94
1r5uqo	1	0		14w9zt	266.929292929	381.134835298
1r6liv	1	0		rurzj	null	null
1r6vj0	1	0		ydim6	null	null
1r80ot	1	0		1bqhds	null	null
1r8jm2	1	0		1rge6v	134.554216867	325.369382414
1r8yga	1	0		1rat43	361.077669903	666.90501921
1r95qk	1	0		1pabhw	802.63	559.330325568
1radkx	1	0		1rk00c	998.828282828	685.471673344
1raqhm	1	0		1ldm54	151.862385321	247.419692017
1rauaz	1	0		1g8cpv	201.111111111	355.580216948
1rb290	1	0		1rii5c	216.333333333	456.09501934
1rb6ae	1	0		1ronnw	289.15	315.179199028
1rcb88	1	0		1qgpml	97.1060606061	113.80447464
1rd5ld	1	0		17xmbn	87.8571428571	98.162297929
1rdqjg	1	0		1qpns8	null	null
1rdz5v	1	0		xo1b5	266.129032258	538.546415284
1remcj	1	0		1q972k	302.685185185	514.742575867
1rezk3	1	0		1cwdvf	100.486842105	198.601855971
1rfcei	1	0		1nrmwd	258.04	259.145747409
1rfjit	1	0		1q7m47	65	0
1rfqyz	1	0		1pse92	373	248
1rftl1	1	0		1dm22o	341.796875	428.408677782
1rfubz	1	0		1oo0m2	431.1875	722.758450206
1rgzbv	1	0		1r5z11	62.5773195876	122.016885349
1rh0eq	1	0		1qsw32	null	null
1ri3ch	1	0		16th7q	315.581632653	486.691850786
1ri4qy	1	0		1rjvoi	13.3116883117	22.6390420959
1ri6ca	1	0		1rgkz9	145	2
1ri7f3	1	0		1riqcd	28.4285714286	29.9278042861
1rigyw	1	0		183gn2	319	318
1rjb3w	1	0		18ibpd	193.646464646	358.99191947
1rjczm	1	0		1jd5dj	null	null
1rk633	1	0		1reano	55.6694915254	139.062298872
1rki06	1	0		yztum	297.721153846	550.889184318
1rl8dk	1	0		1ddmjb	null	null
1rl92o	1	0		1rb5j0	13	29.4138822767
1rludy	1	0		1q3a7g	223.833333333	273.852403475
1rlusx	1	0		10reg5	463.898989899	418.500123576
1rmbbr	1	0		x3ghp	190.454545455	264.268010299
1rmg5v	1	0		1rgx63	299.747474747	367.372030724
1rmyw8	1	0		1pb9or	191.675	259.581575569
1rn0lh	1	0		1qmh1s	null	null
1rn5n6	1	0		1rfzo7	null	null
1rn8us	1	0		1lr0qm	276.265957447	380.549551546
1rn9q8	1	0		1qyr29	170.22	191.708819828
1rnh7l	1	0		1qztu8	52	16
1rnhz5	1	0		1r3met	450.09	543.039411001
1rnth6	1	0		1ds22y	58.5	42.5
1rnxgk	1	0		1c2dvo	244.949494949	315.616452239
1roegm	1	0		1rappv	8	6
1rohcm	1	0		11ul4q	231.98019802	447.439779237
1rorze	1	0		1q9ar7	601.6	982.973570347
1rppnj	1	0		1r05mt	188.5	286.762096519
1rq3zh	1	0		1l4z46	141.15	112.602075913
1rq5v3	1	0		18e1ew	113.25	74.5297759288
1rq9vh	1	0		1qsnmq	116.461538462	147.969131596
1rqbsg	1	0		1qk16t	null	null
1rqcwk	1	0		1r6nbm	145.26	329.689842731
1rqfcv	1	0		xkfpx	533.19	714.783291565
1rqjpn	1	0		1r2hzw	214.676923077	412.512679812
dom0g	1	0		137d4l	289.080808081	361.502187896
